Datum,Art,Titel,Info,Währung,Betrag,"Gebühren & Steuern",Netto,"Steuerliche Angaben"
"02. September 2022",Marketing,"Gebühr für Verkauf über Offsite Ads",Bestellnr.2582963037,EUR,--,-€6.00,-€6.00,--
"02. September 2022",Fee,"Einstellgebühr (0,20 USD)","Artikel Nr. 1165785482",EUR,--,€0.00,€0.00,--
"02. September 2022",Fee,"Transaction fee: Quiet Book Hungry Caterpillar - Montesso...","Order #2586374802",EUR,--,-€3.25,-€3.25,--
"02. September 2022",Fee,"Processing fee","Order #2586374802",EUR,--,-€2.30,-€2.30,--
"02. September 2022",Sale,"Payment for Order #2586374802",,EUR,€49.99,--,€49.99,--
"02. September 2022",Fee,"Einstellgebühr (0,20 USD)","Artikel Nr. 1165785482",EUR,--,€0.00,€0.00,--
"02. September 2022",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Sep 1, 2022",EUR,--,-€10.03,-€10.03,--
"01. September 2022",Fee,"Transaction fee: Quiet Book Hungry Caterpillar - Montesso...","Order #2585659322",EUR,--,-€1.43,-€1.43,--
"01. September 2022",Sale,"Payment for Order #2585659322",,EUR,€21.99,--,€21.99,--
"01. September 2022",Fee,"Processing fee","Order #2585659322",EUR,--,-€1.18,-€1.18,--
"01. September 2022",Fee,"Einstellgebühr (0,20 USD)","Artikel Nr. 1212293431",EUR,--,€0.00,€0.00,--
"01. September 2022",Fee,"Einstellgebühr (0,20 USD)","Artikel Nr. 1165785482",EUR,--,€0.00,€0.00,--
"01. September 2022",Fee,"Transaction fee: Quiet Book One day on a farm - 8 pages/ ...","Order #2585506622",EUR,--,-€4.22,-€4.22,--
"01. September 2022",Fee,"Processing fee","Order #2585506622",EUR,--,-€2.90,-€2.90,--
"01. September 2022",Sale,"Payment for Order #2585506622",,EUR,€64.99,--,€64.99,--
"01. September 2022",Fee,"Einstellgebühr (0,20 USD)","Artikel Nr. 1075450980",EUR,--,€0.00,€0.00,--
"01. September 2022",Fee,"Transaction fee: Quiet Book One day on a farm - 8 pages/ ...","Order #2585505656",EUR,--,-€4.22,-€4.22,--
"01. September 2022",Fee,"Processing fee","Order #2585505656",EUR,--,-€2.90,-€2.90,--
"01. September 2022",Sale,"Payment for Order #2585505656",,EUR,€64.99,--,€64.99,--
"01. September 2022",Fee,"Einstellgebühr (0,20 USD)","Artikel Nr. 1075450980",EUR,--,€0.00,€0.00,--
"01. September 2022",Marketing,"Gebühr für Verkauf über Offsite Ads",Bestellnr.2585434544,EUR,--,-€7.80,-€7.80,--
"01. September 2022",Fee,"Transaction fee: Quiet Book One day on a farm - 8 pages/ ...","Order #2585434544",EUR,--,-€4.22,-€4.22,--
"01. September 2022",Fee,"Processing fee","Order #2585434544",EUR,--,-€2.90,-€2.90,--
"01. September 2022",Sale,"Payment for Order #2585434544",,EUR,€64.99,--,€64.99,--
"01. September 2022",Fee,"Einstellgebühr (0,20 USD)","Artikel Nr. 1075450980",EUR,--,€0.00,€0.00,--
"01. September 2022",Fee,"Transaction fee: Personalized Quiet Book Dream Job suitab...","Order #2581740503",EUR,--,-€3.70,-€3.70,--
"01. September 2022",Sale,"Payment for Order #2581740503",,EUR,€56.99,--,€56.99,--
"01. September 2022",Fee,"Processing fee","Order #2581740503",EUR,--,-€2.58,-€2.58,--
"01. September 2022",Fee,"Einstellgebühr (0,20 USD)","Artikel Nr. 1131382499",EUR,--,€0.00,€0.00,--
"01. September 2022",Fee,"Processing fee","Order #2581514901",EUR,--,-€2.62,-€2.62,--
"01. September 2022",Fee,"Transaction fee: Quiet Book One day on a farm - 8 pages/ ...","Order #2581514901",EUR,--,-€3.77,-€3.77,--
"01. September 2022",Sale,"Payment for Order #2581514901",,EUR,€57.99,--,€57.99,--
"01. September 2022",Fee,"Einstellgebühr (0,20 USD)","Artikel Nr. 1075450980",EUR,--,€0.00,€0.00,--
"01. September 2022",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Aug 31, 2022",EUR,--,-€9.99,-€9.99,--
